Country,Region,Happiness Rank,HappinessScore,Lower Confidence Interval,UCI,UnemploymentRate,InflationRate,Economy,Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Iceland,Western Europe,3.00,7.50,7.33,7.67,3.76,1.90,1.43,1.18,0.87,0.57,0.15,0.48,2.83
India,Southern Asia,118.00,4.40,4.35,4.46,3.46,5.60,0.74,0.29,0.45,0.40,0.09,0.25,2.18
Indonesia,Southeastern Asia,79.00,5.31,5.24,5.39,5.60,3.80,0.95,0.88,0.49,0.39,0.00,0.57,2.03
Iran,Middle East and Northern Africa,105.00,4.81,4.70,4.92,11.27,8.00,1.12,0.39,0.64,0.23,0.06,0.39,2.00
Iraq,Middle East and Northern Africa,112.00,4.58,4.45,4.70,16.05,2.40,1.07,0.59,0.51,0.25,0.14,0.20,1.82
Ireland,Western Europe,19.00,6.91,6.84,6.98,8.09,0.20,1.48,1.16,0.81,0.54,0.30,0.45,2.16
Israel,Middle East and Northern Africa,11.00,7.27,7.20,7.34,5.61,-0.50,1.34,1.00,0.85,0.36,0.09,0.32,3.31
Italy,Western Europe,50.00,5.98,5.90,6.06,11.54,-0.20,1.35,1.04,0.85,0.19,0.03,0.17,2.35
Jamaica,Latin America and Caribbean,73.00,5.51,5.32,5.71,13.26,2.50,0.89,0.96,0.59,0.44,0.04,0.22,2.36
Japan,Eastern Asia,53.00,5.92,5.85,5.99,3.14,-0.10,1.38,1.06,0.91,0.47,0.19,0.10,1.81
Jordan,Middle East and Northern Africa,80.00,5.30,5.19,5.42,13.24,-0.80,1.00,0.86,0.61,0.36,0.13,0.14,2.20
Kazakhstan,Central and Eastern Europe,54.00,5.92,5.84,6.00,5.23,14.60,1.23,0.96,0.57,0.41,0.11,0.15,2.49
Kenya,Sub-Saharan Africa,122.00,4.36,4.26,4.45,11.00,6.10,0.52,0.76,0.30,0.41,0.07,0.41,1.88
Kosovo,Central and Eastern Europe,77.00,5.40,5.31,5.49,2.44,0.20,0.90,0.66,0.54,0.14,0.07,0.28,2.81
Kuwait,Middle East and Northern Africa,41.00,6.24,6.15,6.32,7.69,3.30,1.62,0.88,0.64,0.43,0.24,0.16,2.28
Kyrgyzstan,Central and Eastern Europe,85.00,5.19,5.10,5.27,1.48,2.90,0.56,0.95,0.55,0.40,0.05,0.38,2.28
Laos,Southeastern Asia,102.00,4.88,4.74,5.01,9.88,0.70,0.68,0.55,0.38,0.52,0.22,0.43,2.09
Latvia,Central and Eastern Europe,68.00,5.56,5.49,5.63,6.78,-0.40,1.22,0.95,0.64,0.28,0.09,0.17,2.21
Lebanon,Middle East and Northern Africa,93.00,5.13,5.03,5.23,27.42,-1.00,1.12,0.64,0.76,0.26,0.03,0.24,2.07
Liberia,Sub-Saharan Africa,150.00,3.62,3.46,3.78,4.00,6.30,0.11,0.50,0.23,0.26,0.05,0.24,2.23
Libya,Middle East and Northern Africa,67.00,5.62,5.41,5.82,19.22,13.00,1.07,0.95,0.52,0.41,0.10,0.17,2.39
Lithuania,Central and Eastern Europe,60.00,5.81,5.73,5.89,9.19,1.50,1.27,1.06,0.65,0.19,0.02,0.02,2.61
Luxembourg,Western Europe,20.00,6.87,6.80,6.94,5.94,-0.10,1.70,1.04,0.85,0.55,0.35,0.28,2.11
Macedonia,Central and Eastern Europe,95.00,5.12,5.02,5.23,26.73,-0.10,1.02,0.78,0.65,0.28,0.07,0.24,2.09
Madagascar,Sub-Saharan Africa,148.00,3.70,3.62,3.77,2.13,9.20,0.28,0.46,0.37,0.14,0.08,0.22,2.15
Malawi,Sub-Saharan Africa,132.00,4.16,4.04,4.27,6.74,23.50,0.09,0.15,0.29,0.41,0.08,0.31,2.83
Malaysia,Southeastern Asia,47.00,6.01,5.92,6.09,3.30,2.00,1.25,0.88,0.62,0.39,0.09,0.41,2.35
Mali,Sub-Saharan Africa,135.00,4.07,3.99,4.16,8.10,-0.30,0.31,0.86,0.16,0.28,0.14,0.21,2.11
Malta,Western Europe,30.00,6.49,6.41,6.57,5.32,1.30,1.31,1.10,0.80,0.55,0.18,0.56,1.99
Mauritania,Sub-Saharan Africa,130.00,4.20,4.13,4.28,11.66,3.50,0.61,0.84,0.29,0.13,0.18,0.23,1.93
Mauritius,Sub-Saharan Africa,66.00,5.65,5.51,5.79,7.78,1.10,1.14,0.76,0.66,0.46,0.05,0.37,2.20
Mexico,Latin America and Caribbean,21.00,6.78,6.68,6.88,4.01,2.70,1.12,0.71,0.71,0.38,0.18,0.12,3.56
Moldova,Central and Eastern Europe,55.00,5.90,5.82,5.97,4.98,7.40,0.69,0.83,0.52,0.25,0.02,0.20,3.38
Mongolia,Eastern Asia,101.00,4.91,4.84,4.98,6.69,2.40,0.99,1.09,0.55,0.36,0.03,0.35,1.54
Montenegro,Central and Eastern Europe,88.00,5.16,5.06,5.27,17.49,0.50,1.08,0.74,0.64,0.15,0.13,0.17,2.26
Morocco,Middle East and Northern Africa,90.00,5.15,5.06,5.24,9.98,1.80,0.84,0.39,0.59,0.26,0.08,0.04,2.95
Namibia,Sub-Saharan Africa,113.00,4.57,4.37,4.77,25.59,6.80,0.93,0.70,0.35,0.49,0.10,0.08,1.92
Nepal,Southern Asia,107.00,4.79,4.70,4.89,3.21,9.10,0.45,0.70,0.50,0.37,0.07,0.38,2.33
Netherlands,Western Europe,7.00,7.34,7.28,7.39,6.17,0.20,1.46,1.03,0.81,0.55,0.30,0.47,2.71
New Zealand,Australia and New Zealand,8.00,7.33,7.26,7.40,5.25,0.60,1.36,1.17,0.83,0.58,0.42,0.49,2.48
Nicaragua,Latin America and Caribbean,48.00,5.99,5.88,6.11,5.89,4.10,0.69,0.90,0.65,0.47,0.16,0.30,2.82
Niger,Sub-Saharan Africa,142.00,3.86,3.78,3.93,2.63,1.10,0.13,0.61,0.26,0.38,0.17,0.21,2.09
Nigeria,Sub-Saharan Africa,103.00,4.88,4.75,5.00,5.01,15.30,0.75,0.64,0.05,0.28,0.03,0.23,2.89
Norway,Western Europe,4.00,7.50,7.42,7.58,4.81,3.50,1.58,1.13,0.80,0.60,0.36,0.38,2.66
Pakistan,Southern Asia,92.00,5.13,5.04,5.23,5.87,3.70,0.69,0.26,0.40,0.15,0.14,0.31,3.18
Panama,Latin America and Caribbean,25.00,6.70,6.60,6.80,5.82,1.00,1.18,0.99,0.71,0.49,0.08,0.24,3.01
Paraguay,Latin America and Caribbean,70.00,5.54,5.45,5.62,5.44,4.30,0.89,1.11,0.58,0.46,0.07,0.25,2.16
Peru,Latin America and Caribbean,64.00,5.74,5.65,5.84,4.95,3.40,1.00,0.81,0.63,0.38,0.05,0.15,2.73
Philippines,Southeastern Asia,82.00,5.28,5.16,5.40,5.88,1.70,0.81,0.88,0.47,0.55,0.12,0.22,2.23
Poland,Central and Eastern Europe,57.00,5.84,5.75,5.92,6.18,-0.80,1.25,1.05,0.69,0.45,0.06,0.14,2.20
Portugal,Western Europe,94.00,5.12,5.03,5.22,11.16,0.80,1.28,0.94,0.79,0.45,0.02,0.12,1.53
Puerto Rico,Latin America and Caribbean,15.00,7.04,6.79,7.28,12.63,-0.20,1.36,1.08,0.78,0.47,0.12,0.22,3.01
Qatar,Middle East and Northern Africa,36.00,6.38,6.18,6.57,0.23,3.80,1.82,0.88,0.72,0.57,0.48,0.32,1.58
Romania,Central and Eastern Europe,71.00,5.53,5.43,5.63,6.42,-1.10,1.17,0.73,0.68,0.37,0.01,0.13,2.45
Russia,Central and Eastern Europe,56.00,5.86,5.79,5.92,5.72,7.20,1.23,1.05,0.59,0.33,0.04,0.03,2.59
Rwanda,Sub-Saharan Africa,152.00,3.52,3.44,3.59,2.53,4.60,0.33,0.62,0.32,0.54,0.51,0.24,0.97
Saudi Arabia,Middle East and Northern Africa,34.00,6.38,6.29,6.47,5.53,4.40,1.49,0.85,0.59,0.38,0.30,0.15,2.61
Senegal,Sub-Saharan Africa,128.00,4.22,4.15,4.29,9.48,1.60,0.44,0.77,0.40,0.31,0.12,0.19,1.98
Serbia,Central and Eastern Europe,86.00,5.18,5.08,5.27,16.53,1.10,1.03,0.81,0.65,0.16,0.04,0.21,2.28
Sierra Leone,Sub-Saharan Africa,111.00,4.64,4.51,4.77,2.99,7.10,0.36,0.63,0.34,0.31,0.08,0.24,3.01
Singapore,Southeastern Asia,22.00,6.74,6.67,6.80,1.83,-0.80,1.65,0.87,0.95,0.49,0.47,0.33,1.99
Slovakia,Central and Eastern Europe,45.00,6.08,6.00,6.16,9.99,-0.30,1.28,1.08,0.70,0.23,0.03,0.14,2.61
Slovenia,Central and Eastern Europe,63.00,5.77,5.68,5.85,8.69,-0.20,1.30,1.06,0.79,0.53,0.04,0.26,1.80
South Africa,Sub-Saharan Africa,116.00,4.46,4.37,4.55,25.93,6.50,1.02,0.96,0.19,0.42,0.08,0.14,1.64
Spain,Western Europe,37.00,6.36,6.29,6.43,19.45,-0.30,1.34,1.13,0.88,0.38,0.06,0.18,2.40
Sri Lanka,Southern Asia,117.00,4.42,4.32,4.51,4.98,4.30,0.97,0.85,0.62,0.51,0.08,0.47,0.92
Sudan,Sub-Saharan Africa,133.00,4.14,3.93,4.35,13.30,17.60,0.63,0.82,0.30,0.00,0.10,0.18,2.11
Suriname,Latin America and Caribbean,40.00,6.27,6.07,6.47,9.98,39.00,1.10,0.78,0.51,0.52,0.13,0.17,3.07
Sweden,Western Europe,10.00,7.29,7.23,7.36,7.09,0.80,1.45,1.09,0.83,0.58,0.41,0.38,2.55
Switzerland,Western Europe,2.00,7.51,7.43,7.59,4.58,-0.40,1.53,1.15,0.86,0.59,0.41,0.28,2.69
Syria,Middle East and Northern Africa,156.00,3.07,2.94,3.20,14.31,47.70,0.75,0.15,0.63,0.07,0.17,0.48,0.82
Tajikistan,Central and Eastern Europe,100.00,5.00,4.92,5.07,10.82,8.00,0.49,0.76,0.53,0.43,0.14,0.26,2.39
Tanzania,Sub-Saharan Africa,149.00,3.67,3.56,3.77,2.62,5.20,0.47,0.78,0.36,0.32,0.05,0.31,1.38
Thailand,Southeastern Asia,33.00,6.47,6.40,6.55,0.63,0.20,1.09,1.04,0.65,0.50,0.03,0.59,2.58
Togo,Sub-Saharan Africa,155.00,3.30,3.19,3.41,6.79,2.20,0.28,0.00,0.25,0.35,0.12,0.18,2.14
Trinidad and Tobago,Latin America and Caribbean,43.00,6.17,5.95,6.39,3.85,3.70,1.33,0.99,0.53,0.48,0.01,0.32,2.51
Tunisia,Middle East and Northern Africa,98.00,5.05,4.97,5.13,14.79,3.80,0.98,0.43,0.60,0.24,0.08,0.04,2.68
Turkey,Middle East and Northern Africa,78.00,5.39,5.30,5.48,10.33,8.00,1.16,0.88,0.65,0.24,0.12,0.05,2.29
Turkmenistan,Central and Eastern Europe,65.00,5.66,5.58,5.74,8.62,11.00,1.08,1.04,0.44,0.37,0.28,0.23,2.21
Uganda,Sub-Saharan Africa,145.00,3.74,3.63,3.85,2.28,5.60,0.35,0.91,0.20,0.44,0.06,0.27,1.51
Ukraine,Central and Eastern Europe,123.00,4.32,4.24,4.41,8.87,13.50,0.87,1.01,0.59,0.13,0.02,0.20,1.50
United Arab Emirates,Middle East and Northern Africa,28.00,6.57,6.49,6.65,3.69,3.40,1.57,0.87,0.73,0.56,0.36,0.27,2.22
United Kingdom,Western Europe,23.00,6.73,6.65,6.80,4.85,0.50,1.40,1.09,0.81,0.50,0.27,0.50,2.15
United States,North America,13.00,7.10,7.02,7.19,4.91,1.30,1.51,1.05,0.78,0.48,0.15,0.41,2.73
Uruguay,Latin America and Caribbean,29.00,6.55,6.46,6.63,8.15,10.20,1.18,1.03,0.72,0.54,0.21,0.18,2.67
Uzbekistan,Central and Eastern Europe,49.00,5.99,5.90,6.08,8.90,11.50,0.74,1.17,0.50,0.61,0.28,0.34,2.35
Vietnam,Southeastern Asia,96.00,5.06,4.99,5.13,2.18,2.80,0.74,0.79,0.66,0.56,0.12,0.25,1.94
Yemen,Middle East and Northern Africa,147.00,3.72,3.62,3.83,17.06,31.50,0.58,0.47,0.31,0.23,0.06,0.10,1.97
Zambia,Sub-Saharan Africa,106.00,4.80,4.65,4.95,7.53,20.70,0.61,0.64,0.24,0.43,0.11,0.18,2.59
Zimbabwe,Sub-Saharan Africa,131.00,4.19,4.10,4.29,5.09,1.60,0.35,0.71,0.16,0.25,0.09,0.19,2.44
